trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-107.14951803136763,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-101.1958199992146,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-75.94787287889784,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-169.81302610387283,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-97.76511364107868,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-76.69967264872497,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",35,0,-187.05392883383522,"{0: 22, 1: 2, 2: 8, 3: 0, 4: 3}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-132.02395472714176,"{0: 12, 1: 2, 2: 10, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-218.156737358286,"{0: 9, 1: 6, 2: 7, 3: 0, 4: 3}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",30,0,-31.306025797412225,"{0: 23, 1: 4, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-181.43494503784657,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-100.22237838842709,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-71.73707599557241,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-105.25704361269953,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",30,0,-92.19622203350735,"{0: 17, 1: 8, 2: 3, 3: 2, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,11,-46.2471551151431,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-113.91893909758252,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-143.95043760758537,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-48.53366676782712,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-131.30681827869546,"{0: 11, 1: 7, 2: 5, 3: 1, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-182.77312933304327,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-85.616997792011,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",30,0,-157.5998510040482,"{0: 16, 1: 1, 2: 11, 3: 1, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",25,0,-261.3986928638169,"{0: 10, 1: 4, 2: 5, 3: 2, 4: 4}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-171.37681332469242,"{0: 10, 1: 1, 2: 4, 3: 3, 4: 2}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",25,0,-99.69583792306975,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,5,-61.11967015471913,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",1
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",25,0,-68.14180410226221,"{0: 15, 1: 7, 2: 1, 3: 2, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",35,0,-190.1843655218625,"{0: 19, 1: 5, 2: 8, 3: 1, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",25,0,-142.29543481687648,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",25,0,-151.23991184034705,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,0,-101.04120361126118,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",1
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-61.9257623534749,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-72.41051943400282,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-120.78114783570602,"{0: 8, 1: 3, 2: 7, 3: 2, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",25,0,-211.89734461495942,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",30,0,-242.7206077156724,"{0: 17, 1: 3, 2: 4, 3: 2, 4: 4}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,0,-26.66564218380794,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,6,-9.085720320311273,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-67.00539378846547,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-25.60065870101527,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",25,0,-129.49205374975202,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,0,-80.48583574866319,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",35,0,-260.8805491355969,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 5}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-107.63851147277691,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",25,0,-68.3588220099472,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",25,0,-118.14031572304687,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",30,0,-108.4192603883784,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,0,-94.52273723471002,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,0,-92.88839779778135,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",25,0,-105.39822075743413,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-156.1263749612824,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",25,0,-76.56940847809723,"{0: 17, 1: 3, 2: 2, 3: 3, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",30,0,-69.76534010873704,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,5,-114.1001410220253,"{0: 7, 1: 1, 2: 4, 3: 2, 4: 1}",1
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,0,-83.6517159700296,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,-105.83282572129062,"{0: 13, 1: 4, 2: 0, 3: 1, 4: 2}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",25,0,-53.3830190459551,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",20,0,-94.65613648045492,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,0,-100.16696877935162,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
