trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-157.96366687608568,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-131.56693170175973,"{0: 16, 1: 3, 2: 1, 3: 4, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-133.69201574249055,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-155.228112686216,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-317.4709785597748,"{0: 8, 1: 2, 2: 1, 3: 3, 4: 6}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-97.73931780866654,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-111.1661317134581,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-111.47404898993658,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-168.2473222378447,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",25,0,-111.34821931551717,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-80.97901060383595,"{0: 11, 1: 5, 2: 1, 3: 3, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-112.31660087612671,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-75.19728149585882,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-150.1160888219356,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-66.74255874899605,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-151.95707526883413,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-138.3572989866076,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,16,7.837109104460004,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
