trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",30,0,-177.89142587230918,"{0: 20, 1: 3, 2: 2, 3: 2, 4: 3}",0
2,False,"{'a': 0.9, 'e': 0.25}",30,0,-68.7258744637106,"{0: 24, 1: 1, 2: 2, 3: 2, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.1111111111111111}",25,0,-45.01992837604685,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.9, 'e': 0.0625}",25,0,-78.99510928554339,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
5,False,"{'a': 0.9, 'e': 0.04}",30,0,16.479374178806555,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.027777777777777776}",25,0,-10.871488794986085,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.02040816326530612}",20,10,8.29782268309365,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.9, 'e': 0.015625}",25,0,-9.872960984801013,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,False,"{'a': 0.9, 'e': 0.012345679012345678}",20,6,21.265592832536417,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.9, 'e': 0.01}",20,0,25.778417155812313,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.9, 'e': 0.008264462809917356}",25,1,-60.7348830458593,"{0: 19, 1: 2, 2: 0, 3: 2, 4: 1}",1
12,False,"{'a': 0.9, 'e': 0.006944444444444444}",20,10,8.492858527934118,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.9, 'e': 0.005917159763313609}",20,0,15.794328429317508,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.9, 'e': 0.00510204081632653}",25,2,26.131852112084932,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.9, 'e': 0.0044444444444444444}",20,0,0.2709223119466624,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.9, 'e': 0.00390625}",25,0,24.342262984300035,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.9, 'e': 0.0034602076124567475}",30,11,13.021070643802073,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.9, 'e': 0.0030864197530864196}",20,1,-10.534341848132502,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.9, 'e': 0.002770083102493075}",25,10,26.05187776252192,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.9, 'e': 0.0025}",20,0,6.553215019063224,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
21,False,"{'a': 0.9, 'e': 0.0022675736961451248}",25,14,22.857673697433256,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.9, 'e': 0.002066115702479339}",25,12,23.531493363631473,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.9, 'e': 0.001890359168241966}",20,12,14.312485505787215,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.9, 'e': 0.001736111111111111}",20,0,12.270851302701413,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.9, 'e': 0.0016}",30,0,43.22474623585571,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.9, 'e': 0.0014792899408284023}",30,21,2.2398053864641456,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.9, 'e': 0.0013717421124828531}",25,0,-8.190718756525477,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
28,False,"{'a': 0.9, 'e': 0.0012755102040816326}",25,10,22.59696608885459,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.9, 'e': 0.0011890606420927466}",20,15,9.450148834874621,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.9, 'e': 0.0011111111111111111}",30,2,-56.84706347173001,"{0: 24, 1: 0, 2: 1, 3: 2, 4: 1}",1
