trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-82.51328597890216,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.13507557646703494}",25,0,-44.24061446613107,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.007859689074189212}",25,0,-35.31842503286866,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.0260091772841964}",20,0,-31.23939336640702,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.03204574462187735}",30,2,26.760105201154087,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.027499791572234596}",20,0,-7.252635816003532,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.01911136096511829}",25,0,9.656943704741732,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.010213181575993937}",20,0,24.842211166375453,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.0026024172769232063}",25,0,8.792824570543566,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.0028366218546322626}",30,16,26.670930050944726,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.005856774994142644}",20,0,-52.74573460835126,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.006667849212849764}",20,0,-53.48134030295963,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.005778625004307831}",25,8,-52.04740808578675,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.0038464400731801256}",30,0,-0.3081267563321699,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.0015406014126001148}",30,16,11.54286225386517,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.0005683595070648966}",25,10,12.859880631741344,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.0020830861684595975}",30,0,-9.029875484855229,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.0028121304379156694}",25,6,3.323604906013942,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.002762249740156173}",20,0,0.3619325262509697,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.002097678822691131}",20,0,18.508704367206054,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.0010783150294693708}",25,0,27.143146228309988,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
