trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",30,1,-180.9049578747337,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.5403023058681398}",25,3,-55.14780011185463,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",20,2,-38.37435562622362,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.4161468365471424}",25,0,-113.69153349392211,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8011436155469337}",30,0,-115.33356735444369,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9899924966004454}",25,9,-67.74066526878093,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.9364566872907963}",25,6,-134.13719773604524,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 3}",1
8,False,"{'a': 0.5, 'e': 0.6536436208636119}",20,0,-42.95326751058271,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.2107957994307797}",25,0,-56.71504968029635,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.28366218546322625}",20,12,13.540221343866673,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.70866977429126}",20,0,-138.19846785782246,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.960170286650366}",25,0,-164.79385627508492,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",25,0,-132.81594692382134,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",20,0,-72.09373223020067,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",20,0,-50.84108628667649,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.14550003380861354}",20,3,-3.5351968287343105,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.6020119026848236}",20,5,-3.108688764133716,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.9111302618846769}",30,0,-125.10113837178751,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9971721561963784}",25,0,-141.5252059960911,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8390715290764524}",25,0,-83.04565651544664,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.4755369279959925}",25,12,9.243176227614256,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.004425697988050785}",25,7,26.453694154399717,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.4833047587530059}",20,0,15.025880022103243,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8438539587324921}",25,0,-147.51160500563537,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.9977982791785807}",25,0,-213.30449792063914,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.9074467814501962}",25,0,-84.67895906477598,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.594920663309892}",20,0,-23.547157503772212,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.1367372182078336}",25,9,12.258852806284786,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.354924266788705}",30,0,-98.23800168552879,"{0: 22, 1: 2, 2: 2, 3: 3, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7596879128588213}",25,0,-138.26913697955783,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.9784534628188842}",30,0,-209.64108127907565,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 4}",0
32,False,"{'a': 0.5, 'e': 0.9576594803233847}",30,0,-147.9169029603947,"{0: 19, 1: 1, 2: 6, 3: 3, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7023970575027135}",20,0,-185.72713682040575,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.27516333805159693}",25,0,-11.72949099992103,"{0: 20, 1: 4, 2: 0, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.2194399632114593}",30,15,18.89561163746732,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.6603167082440802}",25,0,-40.40961690777036,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.939524893748256}",30,0,-78.00588767180318,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9887046181866692}",20,0,-187.1124291222951,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.7958149698139441}",30,0,-94.7236982318462,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.40808206181339196}",25,20,9.153058730071027,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.07956356727854007}",20,7,6.817170314135162,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.5477292602242684}",20,14,-42.46540836975254,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.8817917275413242}",20,0,-118.10149147244404,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9999608263946371}",20,0,-86.59486235134644,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.8733046400935156}",20,8,-69.62302780889374,"{0: 6, 1: 0, 2: 4, 3: 2, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.5328330203333975}",25,0,-81.1883336728607,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.061905293994420546}",20,0,19.20573438063939,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.424179007336997}",20,0,-23.067380325653513,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.8064094939122546}",25,1,-107.49280541459596,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.9912028118634736}",25,0,-112.33395553437529,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.933315112063922}",30,0,-238.24238164262508,"{0: 15, 1: 7, 2: 2, 3: 2, 4: 4}",0
52,False,"{'a': 0.5, 'e': 0.6469193223286404}",20,7,-89.1740925433448,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 2}",1
53,False,"{'a': 0.5, 'e': 0.20213512038718198}",25,12,24.851511230153037,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.2921388087338362}",25,17,4.0053676518965,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.7148869687796651}",25,0,-136.64504942090383,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.9626058663135666}",30,0,-104.43872532079044,"{0: 20, 1: 1, 2: 6, 3: 3, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.9746452757206577}",25,17,-13.360328257205706,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.7480575296890003}",20,0,-58.236590654377736,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.3383192109710552}",20,14,-1.438751112402362,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.15425144988758405}",20,13,13.467249932417497,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.6090559761063562}",20,10,-13.148600372752492,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.9147423578045313}",20,0,-105.07435115221791,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9964679075571249}",25,0,-134.13589820197288,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.8342233605065102}",20,0,-124.73439996189795,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.4677318402470736}",20,0,-12.968488825855646,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.013276747223059479}",20,9,20.41991762505624,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.49103472393024045}",20,13,12.611083095823624,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.8485702747846052}",20,2,-142.17901845928128,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 3}",1
69,False,"{'a': 0.5, 'e': 0.9983462274487422}",25,0,-116.60824416161259,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.9036922050915067}",20,9,-38.295668091880565,"{0: 6, 1: 2, 2: 2, 3: 1, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.587782813560387}",20,14,3.9791942539710377,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.12796368962740468}",20,0,29.151203365568755,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.36318540841606234}",30,10,20.66848900135506,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.7654140519453434}",35,0,-118.5512534473427,"{0: 24, 1: 4, 2: 4, 3: 2, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.9802426408101081}",20,0,-88.43799446056545,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.9550736440472949}",30,0,-123.73380496792234,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.6960693098638897}",20,0,-48.13867487146423,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.26664293235993725}",25,10,-52.78812515946863,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.22806693448309956}",30,8,-42.23826964712847,"{0: 19, 1: 0, 2: 0, 3: 2, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.6669380616522619}",30,3,-68.67888910021179,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.9425194910508831}",20,3,-123.60506983611302,"{0: 7, 1: 1, 2: 7, 3: 1, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.9873392775238264}",35,0,-195.60512239385798,"{0: 25, 1: 1, 2: 4, 3: 1, 4: 4}",0
83,False,"{'a': 0.5, 'e': 0.7904239741978156}",25,0,-78.68993604910102,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.39998531498835127}",25,13,-20.505662345779633,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.08838369930580554}",20,0,-14.428013405022742,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.5551133015206257}",25,13,-60.58335580163752,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.8859318072699817}",25,0,-94.44831094583144,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
88,False,"{'a': 0.5, 'e': 0.9998433086476912}",30,0,-196.2743667823289,"{0: 19, 1: 4, 2: 2, 3: 1, 4: 4}",0
89,False,"{'a': 0.5, 'e': 0.8689582973139933}",25,3,-54.26740417195817,"{0: 14, 1: 5, 2: 1, 3: 2, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.5253219888177297}",20,9,12.392995716401275,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.05306853621402457}",25,20,10.875341185683032,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.4321779448847783}",25,0,-44.61997666877392,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.8116121923430246}",25,7,-103.76552464774304,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 2}",1
94,False,"{'a': 0.5, 'e': 0.9923354691509287}",20,0,-160.3970789549842,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
95,False,"{'a': 0.5, 'e': 0.9301004142012893}",30,0,-147.34556763855892,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.6401443394691997}",30,0,-49.55960163542805,"{0: 21, 1: 6, 2: 2, 3: 1, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.1934586046207122}",20,0,-11.874763826796144,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.3005925437436371}",35,0,6.705923573152401,"{0: 31, 1: 1, 2: 3, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.7210481538680822}",25,0,-16.893246867632502,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.9649660284921133}",30,0,-148.62119302876957,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.9726265649744922}",25,0,-69.41932155317517,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.7421541968137826}",25,11,-55.79960678518765,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
