trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 2.0}",35,0,-176.23994382965944,"{0: 21, 1: 4, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.3333333333333333}",20,0,-53.66779049678418,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.13333333333333333}",25,0,-63.29518415575871,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.07142857142857142}",20,0,-48.03848629205686,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.044444444444444446}",25,0,-14.712962321318853,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.030303030303030304}",25,0,-28.790444338692378,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.02197802197802198}",25,0,2.5034721500479433,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.016666666666666666}",25,0,-33.218798218383014,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.013071895424836602}",25,17,7.104554808589292,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.010526315789473684}",20,0,20.728779924832118,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.008658008658008658}",25,0,21.888627949363183,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.007246376811594203}",20,0,-5.794517256504027,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.006153846153846154}",25,2,30.738261107302336,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.005291005291005291}",20,16,8.146867335749112,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.004597701149425287}",20,5,20.23889765865785,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.004032258064516129}",25,0,32.45948533349298,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.0035650623885918}",25,17,12.085539323574578,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.0031746031746031746}",20,0,23.009965350690724,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.002844950213371266}",25,11,-27.826747107150354,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.002564102564102564}",30,20,15.30216754170769,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.0023228803716608595}",35,5,37.70185458900528,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.0021141649048625794}",20,0,19.787603355187205,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.001932367149758454}",20,3,-4.695987774424777,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.0017730496453900709}",20,0,28.801576996487075,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.0016326530612244899}",30,0,38.86685949548757,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.0015082956259426848}",20,13,11.086404278620034,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.001397624039133473}",20,0,24.62024129895153,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.0012987012987012987}",20,8,22.863234512269113,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.0012099213551119178}",20,11,-4.535763162522179,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.0011299435028248588}",20,0,27.18923573936369,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.0010576414595452142}",20,9,18.81229357179381,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.000992063492063492}",20,0,25.89460592148329,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.0009324009324009324}",20,0,-19.34547673029571,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.000877963125548727}",25,11,-19.857290289949734,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.0008281573498964803}",20,2,-15.334329427061645,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
