trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-81.7569521936785,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-110.39632970069846,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",30,0,-195.69737459059877,"{0: 18, 1: 1, 2: 5, 3: 4, 4: 2}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,0,-147.21068456481183,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",25,0,-222.52248556202608,"{0: 11, 1: 5, 2: 5, 3: 0, 4: 4}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",20,0,-188.3294897188413,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",30,0,-148.43218493193697,"{0: 20, 1: 4, 2: 3, 3: 0, 4: 3}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,12,-0.33519313896914715,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-111.24583530968489,"{0: 14, 1: 6, 2: 2, 3: 2, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",25,10,-2.1632046262291382,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-167.0837096701744,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",35,0,-156.8018398383999,"{0: 21, 1: 1, 2: 10, 3: 2, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-14.939928460542705,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,6,-7.14686939197227,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",35,1,-103.50322045268523,"{0: 22, 1: 4, 2: 7, 3: 0, 4: 1}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,-32.89455967154072,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-170.34913224989407,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",25,0,-88.3250062243779,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,-64.36372538402719,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-173.82934896696312,"{0: 10, 1: 3, 2: 1, 3: 4, 4: 2}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,0,-78.37518224855555,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",30,0,-187.47807232987273,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,0,-175.54995750764382,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",20,0,-129.43852992545672,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",30,0,-77.94685870639792,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",25,0,-106.36939860988667,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,6,-33.609788524001374,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",30,0,-89.87124325247005,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",25,0,-69.69454617207828,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",35,2,-69.16641076853304,"{0: 25, 1: 0, 2: 6, 3: 2, 4: 0}",1
72,False,"{'a': 0.01, 'e': 0.751805729140895}",20,0,-161.35674044099244,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",30,15,-12.72686303016899,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",25,0,-136.53176718656337,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 2}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,0,-91.66727795840252,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,0,-126.51354771543804,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109433}",20,0,-53.3684969955325,"{0: 10, 1: 7, 2: 3, 3: 0, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",25,6,-108.10228130310591,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 2}",1
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",30,11,-72.50019691691425,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 1}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",30,16,-58.716853881913195,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
81,False,"{'a': 0.01, 'e': 0.689498432951747}",25,0,-101.83629402995335,"{0: 18, 1: 2, 2: 1, 3: 3, 4: 1}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",30,0,-178.5230289002993,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
83,False,"{'a': 0.01, 'e': 0.674875760071267}",20,0,-52.38633952648734,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",20,1,-60.14657085094816,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,0,-145.81823522607667,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",25,0,-73.31283956952268,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,11,-58.46530181819924,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,2,-24.387133279641322,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,0,-139.69316377577658,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",20,1,-24.576930744151383,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,2,-1.7199166010274032,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",25,10,-93.365730631179,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 2}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,0,-76.2616476333852,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",25,0,-105.32403559926544,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,4,9.571259924200252,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",30,0,-53.209916960998726,"{0: 24, 1: 2, 2: 1, 3: 3, 4: 0}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,0,-63.10686786843782,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,0,11.238131395034458,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",20,0,-80.28096094257833,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",20,0,0.9717784844145468,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,0,-78.63882939548608,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",30,14,-112.52452577403693,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 2}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",30,1,-37.76166630744876,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,10,-54.862182643307214,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",30,10,7.704940367455225,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",20,2,6.1919128562567085,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",20,12,14.284591409691474,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,13,2.524746299929322,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,5,-10.246538193829352,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,14,8.358805557212651,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",25,13,3.2513413940782563,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",20,9,9.641490563467244,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",25,11,-5.882182712284449,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,14,-11.44458565474599,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,0,11.833742657189184,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",25,7,-7.57222243688431,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",30,13,-37.40011179541897,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",20,1,-73.74495836417776,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 2}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",25,8,13.786127636046775,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,0,29.13361107900531,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",35,11,-19.557532192954188,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,15,-8.41220749080647,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",25,17,14.17180581120456,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",30,16,18.320466446024696,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,9,23.34998107398419,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",25,0,-116.09802771694821,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",1
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",30,9,-21.828694954724277,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",25,7,6.970471161467182,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",25,0,-82.38161410801584,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",25,13,12.56078972646791,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.25785003253266964}",25,17,13.647964402744119,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,7,17.125138011260727,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",25,13,4.281399010059092,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",25,0,-40.19473493128853,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,3,-4.6760955568324105,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",25,0,15.998233594627807,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",25,15,5.025086222133064,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",30,16,1.9193501050485,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",20,11,18.74536562011917,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",25,12,15.286207806356856,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,3,13.889354056636158,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",25,4,-11.346103297332883,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",20,0,31.620220400067137,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",35,11,42.268359773578865,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",25,3,1.999936835332245,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",20,12,12.35242473163457,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",25,20,6.8784810541028865,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",25,7,-11.268082171813868,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",30,19,18.74227298184248,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,3,21.969176760305878,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",25,11,23.684586544138305,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",20,0,29.33699627009916,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",20,8,17.54416917127279,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.03079145908246612}",20,14,-1.4672373204508133,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.020794827803092428}",20,8,22.776789784508882,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",25,5,37.6768363521457,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",20,12,13.817432980389793,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,12,12.970967735631486,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,18,18.62842232130643,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,17,15.546919445352355,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,15,9.526764120593397,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,17,25.13334657533444,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,14,18.389113047244,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,16,7.782383602868805,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,17,14.680426183664904,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,11,32.896902755477,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,8,24.668364521305158,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",30,3,43.60813364151669,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.0, 'e': 0.0}",20,7,21.417442253249163,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.0, 'e': 0.0}",25,16,17.619449963036264,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",20,12,14.6066851750078,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",20,4,24.871114040309564,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.0, 'e': 0.0}",35,23,20.301367975793934,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.0, 'e': 0.0}",20,0,30.30291904907747,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,True,"{'a': 0.0, 'e': 0.0}",30,8,39.60634092647313,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.0, 'e': 0.0}",20,14,13.620920712039947,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0.0, 'e': 0.0}",20,13,10.846811492207898,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
