trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",25,0,-175.16019760374064,"{0: 11, 1: 0, 2: 11, 3: 2, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.25}",20,0,-56.97541480635748,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.1111111111111111}",30,0,-126.85955521223009,"{0: 22, 1: 3, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.9, 'e': 0.0625}",30,6,-43.452695984085686,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 0}",1
5,False,"{'a': 0.9, 'e': 0.04}",20,0,8.621720327728934,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.027777777777777776}",30,0,13.961584370508737,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.9, 'e': 0.02040816326530612}",25,15,15.103487576711359,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.9, 'e': 0.015625}",30,0,25.43357256530182,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.9, 'e': 0.012345679012345678}",20,0,1.135458840880399,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.01}",30,0,2.1327552846924656,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.9, 'e': 0.008264462809917356}",25,12,24.8808706733453,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.9, 'e': 0.006944444444444444}",25,4,31.28944428740013,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.9, 'e': 0.005917159763313609}",25,14,-0.18162172625074868,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.9, 'e': 0.00510204081632653}",25,18,-51.976942874835714,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 1}",1
15,False,"{'a': 0.9, 'e': 0.0044444444444444444}",25,18,10.873003647758315,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.9, 'e': 0.00390625}",25,12,3.596607520075225,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.9, 'e': 0.0034602076124567475}",25,12,24.606894069992176,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.9, 'e': 0.0030864197530864196}",20,12,15.071124418412747,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.9, 'e': 0.002770083102493075}",20,14,-12.778252494176247,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.9, 'e': 0.0025}",20,6,26.23490305167917,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.9, 'e': 0.0022675736961451248}",30,0,-41.83603513600295,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
22,False,"{'a': 0.9, 'e': 0.002066115702479339}",20,6,24.756725228941242,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.9, 'e': 0.001890359168241966}",20,13,0.4603869917874488,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.9, 'e': 0.001736111111111111}",20,8,16.399575140490043,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.9, 'e': 0.0016}",30,13,20.74563536795577,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.9, 'e': 0.0014792899408284023}",30,16,19.451103188683906,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.9, 'e': 0.0013717421124828531}",20,14,10.074846472955281,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.9, 'e': 0.0012755102040816326}",35,19,24.635489441313347,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.9, 'e': 0.0011890606420927466}",20,6,12.823143653919386,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.9, 'e': 0.0011111111111111111}",25,17,3.6325379146126915,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.9, 'e': 0.001040582726326743}",25,9,30.632751227488665,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.9, 'e': 0.0009765625}",25,16,16.52452348125175,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.9, 'e': 0.0009182736455463728}",25,13,18.904204455425027,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.9, 'e': 0.0008650519031141869}",25,3,30.45442748461473,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.9, 'e': 0.0008163265306122449}",25,18,12.308142285251568,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.9, 'e': 0.0007716049382716049}",25,11,12.132843583933907,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.9, 'e': 0.0007304601899196494}",30,16,21.662743710280196,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.9, 'e': 0.0006925207756232687}",25,8,28.28091070469083,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.9, 'e': 0.0006574621959237344}",25,12,9.367647421931293,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.9, 'e': 0.000625}",20,12,14.954614267791262,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
